GEOID10,Shape_Leng,Shape_Area,State,County,LIFEEXP,LIFEEXP_SE,NEG_LIFEEXP,LOWINCPCT,LESSHSPCT,LINGISOPCT,UNEMPPCT,P_NEG_LIFEEXP,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNEMPPCT,Perimeter_km,Area_ha,Perimeter,Area,Shape_Index,Index_1,Index_2,P_Index_1,P_Index_2,PCA_Index_V1,PCA_Index_V2
23005003100,11967.1177124,7321088.78612,Maine,"Cumberland County, ME",77.1,1.5809,72.9,25.1623376623376,5.7894736842105,0,3.1929046563193,63.873374737500555,42.6281665649959,29.5463289894041,22.214977696134895,27.982810985317,11.9671177124408,732.1088786119601,7.436019900097054,2.8266864341829763,0.05112067126991541,21.40894320057348,37.24913179467049,0.33529928659726255,0.29325469520277614,-47.621723688788734,-83.77489788577893
23005003000,24924.785399,27756448.2824,Maine,"Cumberland County, ME",77.9,2.0336,72.1,25.657894736842103,4.3194600674916,3.2656023222061,5.815993983454501,56.0140297573835,43.7105593082186,20.3591796530612,62.1248520370525,64.1978024368684,24.92478539896518,2775.644828243483,15.487538828140394,10.716817964264228,0.04467875240161605,22.231790221998864,49.28128463851685,0.3876055582860462,0.48142025229733554,-48.89621956597051,-99.89512251015604
23005012000,78772.6089794,230765290.488,Maine,"Cumberland County, ME",80.2,1.6299,69.8,14.5753548096418,1.3325257419746,0,2.1079881656805,32.90812147208197,19.3998070376039,3.42523191275388,22.214977696134895,12.5380718190168,78.77260897944083,23076.52904881636,48.94701481416413,89.09892164399295,0.03718947329037443,17.56317374345938,18.097241987518288,0.09494660649658192,0.04185097478516003,-37.7698138191073,-37.08684693178317
23001010700,41221.2079509,57699229.479,Maine,"Androscoggin County, ME",79.7,1.8817,70.3,16.4981036662452,8.7826086956522,5.8139534883721,1.0668163952835,37.94662139016726,23.6613551593582,46.729611334307,74.5479121732027,3.26364204855441,41.22120795088239,5769.922947895267,25.61366320564774,22.2777832636302,0.03395694295786432,20.492296449110597,37.229828421117915,0.27597813621673145,0.29294192991078744,-44.22053108786017,-72.39649181845533
23005002200,15627.6784916,8873321.4634,Maine,"Cumberland County, ME",76.9,1.7974,73.1,24.2931709438886,6.563307493539999,0,2.4273630011033,65.68517939323534,40.832966740714,34.4786481640138,22.214977696134895,16.6538646583238,15.627678491551125,887.3321463403813,9.710586211973611,3.4260064506118995,0.03633266710347127,21.27676828770638,35.97312733048437,0.32642270973891546,0.2731036742475016,-47.30430315073395,-81.50318243062631
23005002102,21683.8997124,18708411.8248,Maine,"Cumberland County, ME",81.4,2.8011,68.6,38.032353912182195,10.8701472556894,11.1273080660835,2.9595902105862,21.402826802496165,67.4405772260509,56.3226988009941,86.0651186900678,24.3720446623494,21.683899712389465,1870.841182480576,13.473746448187155,7.223353718991887,0.03978891910370401,26.31787988890826,51.120653236391675,0.620526339305661,0.5105669987936196,-58.91030705426197,-105.65441805121615
23005002002,24502.7801333,17883181.6241,Maine,"Cumberland County, ME",76,2.617,74,38.0306345733041,6.5682281059063,0.9930486593843,1.4339622641509,73.20495062776462,67.4347903174868,34.5084052270802,37.9353946747552,5.68650164585448,24.50278013331925,1788.3181624083577,15.225316994220714,6.904730754347324,0.02978612866777693,24.20517472054912,43.75400849858826,0.5097776387709814,0.3939204384671522,-55.14677378768247,-98.41308740583766
23005002001,11667.4568747,6384131.005210001,Maine,"Cumberland County, ME",74.2,1.3623,75.8,32.2356495468277,8.9330024813896,4.6221570066031,2.5174076057847,85.26503135099712,57.089822704572,47.4698490692421,69.7235550305463,17.9578394169884,11.667456874718068,638.4131005212759,7.24981934570044,2.464925236352273,0.04689746648545322,24.82164332812102,55.501219514469184,0.5445392669377299,0.5789881298124898,-55.448724452090566,-117.02557827823324
23005001900,7860.32714986,3204355.5747,Maine,"Cumberland County, ME",81.9,2.7057,68.1,21.171062182434,2.7888446215139,0,2.006056018168,17.360707743175013,34.0198300302459,10.7512956629751,22.214977696134895,11.3050664119248,7.860327149861226,320.435557469636,4.88417934143642,1.2372078386026044,0.05186321774835422,18.81319256442318,19.13037550889114,0.1695932561845613,0.05068287088750875,-41.43729833562091,-41.69338710634515
23005001800,10871.3649708,5939607.63536,Maine,"Cumberland County, ME",77.9,1.9809,72.1,18.610561988138898,5.3140096618357004,0.5110732538330001,1.7865322950068998,56.0140297573835,28.336436462192,26.6059322147834,27.9605989754617,8.83019048794541,10.871364970785375,593.9607635355491,6.755150923261881,2.2932939099250955,0.05025619507642295,19.664435439762897,29.5494375795532,0.22191442145867776,0.17778472811759974,-43.006010338710745,-64.2125471737493
